0.996427  0
1.40991  0.00705499
1.72138  0.00864741
1.99338  0.00999498
2.23546  0.011179
2.45633  0.0122533
2.65746  0.0132168
2.84177  0.0141462
3.01104  0.0150321
3.17801  0.0158917
3.33445  0.0166574
3.46655  0.0173358
3.61535  0.0180197
3.75571  0.0187001
3.89706  0.0193781
4.0295  0.0200062
4.1595  0.0205879
4.28055  0.0211541
4.4054  0.0217408
4.51933  0.0223082
4.62159  0.022879
4.72969  0.0233764
4.82862  0.0238803
4.92884  0.0244161
5.02579  0.0248978
5.12653  0.0253986
5.21797  0.0258824
5.31099  0.0264077
5.40293  0.0268395
5.49075  0.0273329
5.57416  0.0277936
5.66809  0.0282617
5.76282  0.0286902
5.8532  0.0291046
5.93475  0.0295408
6.02425  0.0299192
6.11573  0.0303076
6.19592  0.0307255
6.27637  0.0311469
6.35309  0.0315633
6.42737  0.0319655
6.51103  0.0323487
6.58278  0.0327494
6.66249  0.0331108
6.7183  0.0334987
6.79955  0.0338925
6.87742  0.0342525
6.95711  0.0346386
7.02602  0.0349724
7.09809  0.035357
7.16225  0.0356999
7.23009  0.0360411
7.29698  0.036395
7.37302  0.036731
7.46069  0.0371053
7.52768  0.0374572
7.57788  0.037812
7.63696  0.0381482
7.68949  0.0384918
7.75492  0.0388034
7.81826  0.0391564
7.87105  0.0394716
7.93661  0.0397544
8.0142  0.0400388
8.09031  0.0403567
8.15006  0.0406876
8.19297  0.0409869
8.25753  0.0412647
8.32074  0.0415662
8.37963  0.0418711
8.42839  0.0421703
8.48278  0.0424809
8.55185  0.0427796
8.63643  0.0430473
8.69062  0.0433218
8.7369  0.0435904
8.78917  0.043895
8.85206  0.0441212
8.90002  0.0443424
8.9501  0.0445965
9.01272  0.044823
9.04898  0.045122
9.10918  0.0454297
9.15055  0.0457075
9.20667  0.0459817
9.26152  0.0462187
9.3272  0.0464767
9.37833  0.0467313
9.44464  0.0469361
9.50158  0.0471884
9.55523  0.047459
9.61168  0.0476781
9.66889  0.0479367
9.7218  0.0482121
9.78751  0.0485031
9.83565  0.0487894
9.88801  0.0490378
9.93318  0.0492964
9.9801  0.049544
10.0282  0.0497696
