1  0
1.41605  0.00705499
1.73494  0.00864741
2.00395  0.00999498
2.24152  0.011179
2.45589  0.0122533
2.64983  0.0132168
2.83595  0.0141462
3.01387  0.0150321
3.18399  0.0158917
3.33739  0.0166574
3.47304  0.0173358
3.6096  0.0180197
3.74612  0.0187001
3.88049  0.0193781
4.00664  0.0200062
4.12393  0.0205879
4.23736  0.0211541
4.35344  0.0217408
4.46802  0.0223082
4.58205  0.022879
4.68032  0.0233764
4.78314  0.0238803
4.88964  0.0244161
4.98672  0.0248978
5.08653  0.0253986
5.18355  0.0258824
5.28946  0.0264077
5.37654  0.0268395
5.4754  0.0273329
5.56961  0.0277936
5.66329  0.0282617
5.74736  0.0286902
5.83124  0.0291046
5.91821  0.0295408
5.99341  0.0299192
6.07095  0.0303076
6.1557  0.0307255
6.23949  0.0311469
6.32169  0.0315633
6.40359  0.0319655
6.48051  0.0323487
6.56049  0.0327494
6.63179  0.0331108
6.70946  0.0334987
6.7887  0.0338925
6.86051  0.0342525
6.93756  0.0346386
7.00471  0.0349724
7.08171  0.035357
7.15099  0.0356999
7.22011  0.0360411
7.29249  0.036395
7.35806  0.036731
7.43149  0.0371053
7.50293  0.0374572
7.57335  0.037812
7.64285  0.0381482
7.71216  0.0384918
7.77509  0.0388034
7.84451  0.0391564
7.90889  0.0394716
7.9646  0.0397544
8.02222  0.0400388
8.08563  0.0403567
8.15339  0.0406876
8.21374  0.0409869
8.27105  0.0412647
8.33302  0.0415662
8.39502  0.0418711
8.45435  0.0421703
8.51657  0.0424809
8.57653  0.0427796
8.63028  0.0430473
8.68527  0.0433218
8.73841  0.0435904
8.79985  0.043895
8.84564  0.0441212
8.88893  0.0443424
8.93978  0.0445965
8.98599  0.044823
9.04451  0.045122
9.10721  0.0454297
9.16377  0.0457075
9.21835  0.0459817
9.26484  0.0462187
9.31632  0.0464767
9.36698  0.0467313
9.40882  0.0469361
9.4598  0.0471884
9.51335  0.047459
9.55617  0.0476781
9.60811  0.0479367
9.66177  0.0482121
9.7203  0.0485031
9.77702  0.0487894
9.8274  0.0490378
9.88035  0.0492964
9.92894  0.049544
9.97665  0.0497696
