11.8082    1   24   30   29   23   17   8   21   14   19   10   13   12   3   26   22   7   33   20   34   18   25   31   5   27   28   9   16   32   6   11   4   2   15 
11.4488    1   24   30   29   23   17   8   14   21   19   10   13   12   3   26   22   7   9   33   20   28   27   5   31   25   18   34   16   32   6   11   4   2   15 
10.8155    1   24   23   17   29   30   8   21   14   19   10   13   3   26   12   22   7   9   33   34   20   6   27   5   18   32   16   28   25   31   11   4   2   15 
11.0067    1   24   23   17   29   30   8   21   14   19   10   12   13   7   22   26   3   34   18   25   31   5   27   28   16   33   9   20   32   6   11   4   15   2 
11.0876    1   24   17   23   29   30   8   21   14   19   10   3   26   13   12   22   7   9   33   34   32   16   20   28   27   5   31   25   18   6   11   4   2   15 
10.912    1   24   23   17   29   30   8   21   14   19   10   13   3   26   12   22   7   9   33   34   27   5   18   6   32   16   20   28   25   31   11   4   2   15 
10.6413    1   24   17   29   23   30   8   21   14   19   10   13   12   3   26   22   7   9   33   34   20   6   18   25   31   5   27   28   16   32   11   4   15   2 
10.5645    1   24   23   17   29   30   8   21   14   19   10   13   12   3   26   22   7   9   33   34   20   6   28   27   5   18   32   16   25   31   11   4   2   15 
9.89737    1   24   17   23   29   30   8   21   14   19   10   13   12   3   26   22   7   9   33   34   20   16   32   6   18   5   27   28   25   31   11   4   2   15 
10.0944    1   24   23   17   29   30   8   21   14   19   10   13   22   12   26   3   7   9   33   34   20   32   6   16   28   27   5   31   25   18   11   4   15   2 
10.1648    1   24   17   23   29   30   4   11   6   32   16   20   28   27   5   31   25   18   34   33   9   7   22   26   3   12   13   10   19   14   21   8   2   15 
9.59273    1   24   23   17   29   30   8   21   14   19   10   13   12   3   26   22   7   9   33   34   20   16   32   6   18   27   5   28   25   31   11   4   2   15 
9.59246    1   24   23   17   29   30   8   21   14   19   10   13   12   3   26   22   7   9   33   34   20   16   32   6   18   5   27   28   25   31   11   4   2   15 
9.17512    1   24   23   17   29   30   8   21   14   19   10   12   13   3   26   22   7   9   33   34   20   32   6   16   28   25   18   27   5   31   11   4   2   15 
9.04648    1   24   23   17   29   30   8   21   14   19   10   12   13   3   26   22   7   9   33   34   20   6   16   32   18   5   28   27   25   31   11   4   2   15 
8.79507    1   24   23   17   29   30   8   21   14   19   10   12   13   3   26   22   7   9   33   34   32   20   6   16   18   25   31   5   27   28   11   4   2   15 
8.79506    1   24   23   17   29   30   8   21   14   19   10   12   13   3   26   22   7   9   33   34   20   32   6   16   18   25   31   5   27   28   11   4   2   15 
8.72741    1   24   23   17   29   30   8   21   14   19   10   12   13   3   26   22   7   9   33   34   20   32   16   6   18   5   27   28   25   31   11   4   2   15 
8.55312    1   24   23   17   29   30   8   21   14   19   10   12   13   3   26   22   7   9   33   34   32   20   6   16   18   25   28   27   5   31   11   4   15   2 
8.42467    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   34   32   20   6   16   18   25   5   28   27   31   11   4   2   15 
8.2223    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   34   32   20   6   16   18   25   28   27   5   31   11   4   2   15 
8.42467    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   34   32   20   6   16   18   25   5   28   27   31   11   4   2   15 
8.20087    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   5   27   31   11   4   2   15 
8.20087    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   5   27   31   11   4   2   15 
8.20087    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   5   27   31   11   4   2   15 
7.89255    1   24   23   17   29   30   4   11   31   5   25   27   28   18   16   6   20   32   34   33   9   7   22   26   3   13   12   10   19   14   21   8   2   15 
8.17546    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   27   5   31   11   4   2   15 
8.17546    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   27   5   31   11   4   2   15 
8.17546    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   27   5   31   11   4   2   15 
8.17546    1   24   23   17   29   30   8   21   14   19   10   12   13   22   26   3   7   9   33   20   32   34   6   16   18   28   25   27   5   31   11   4   2   15 
