466.136    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   48   46   7   21   42   9   10   33   27   22   14   45   34   39   19   29   30   20   8   38   32   40   17   18   24   43   16   4   35   25   15   13 
459.209    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   10   33   27   22   14   49   23   45   34   39   19   29   30   20   21   7   46   48   32   38   8   42   9   43   18   24   40   35   17   15   16   25   13   4 
456.047    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   48   46   7   21   42   9   10   33   27   22   14   45   34   39   19   29   30   20   8   38   32   40   13   15   16   43   18   24   17   35   25   4 
456.047    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   48   46   7   21   42   9   10   33   27   22   14   45   34   39   19   29   30   20   8   38   32   40   13   15   16   43   18   24   17   35   25   4 
457.657    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   15   25   16   13   30   48   46   7   21   42   9   10   33   27   22   14   45   34   39   19   29   20   8   38   32   40   35   17   43   18   24   4 
445.788    1   35   24   18   45   34   39   19   29   30   20   8   38   32   40   17   14   22   27   33   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   48   46   7   21   42   9   10   16   25   43   4   15   13 
447.004    1   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   49   23   15   25   16   10   33   27   22   14   45   34   39   19   29   30   20   21   7   46   48   35   40   24   18   43   9   42   8   38   32   17   13   4 
447.2    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   15   25   16   13   30   20   8   40   35   17   10   33   27   22   14   45   34   39   19   29   21   7   46   48   32   38   42   9   43   18   24   4 
443.846    1   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   49   23   48   46   7   21   42   9   10   33   27   22   14   45   34   39   19   29   30   20   8   38   32   40   35   17   15   25   16   13   24   18   4   43 
448.077    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   48   46   7   21   42   9   10   33   27   22   14   45   34   39   19   29   30   20   8   38   32   40   35   17   15   25   13   16   43   18   24   4 
438.205    1   35   24   18   45   34   39   19   29   30   20   8   38   32   40   17   14   22   27   33   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   49   23   48   46   7   21   42   9   10   13   15   16   43   25   4 
435.196    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   27   33   15   35   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   24   18   43   4   25   16   13   17   40 
436.63    1   50   31   6   5   11   2   3   44   12   47   28   37   26   41   36   49   23   35   15   33   27   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   40   17   25   13   16   43   18   24   4 
421.893    1   14   45   34   39   19   29   30   20   8   38   32   40   35   17   36   16   25   50   31   6   5   11   2   3   44   12   47   28   37   26   41   49   23   15   33   27   22   48   46   7   21   42   9   10   18   24   43   4   13 
420.452    1   14   48   32   38   8   46   7   21   20   30   29   19   39   34   45   35   36   41   6   37   28   47   12   44   3   2   11   5   26   31   50   49   23   15   33   27   22   42   9   10   40   17   25   13   16   43   18   24   4 
423.819    1   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   49   27   33   15   23   48   46   7   21   42   9   10   22   14   45   34   39   19   29   30   20   8   38   32   40   35   17   25   13   16   43   18   24   4 
426.171    1   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   49   27   33   23   13   48   46   7   21   42   9   10   22   14   15   35   45   34   39   19   29   30   8   20   38   32   40   17   25   16   43   18   24   4 
426.602    1   35   24   18   45   34   39   19   29   30   20   8   38   32   40   17   14   22   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   49   23   15   48   46   7   21   42   9   10   13   16   25   43   4 
419.834    1   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   27   33   15   35   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   38   8   20   32   40   17   25   13   16   43   18   24   4 
416.059    1   50   31   26   5   11   2   3   44   12   47   28   37   6   41   36   27   33   15   35   23   49   22   48   9   10   14   42   46   7   21   45   34   39   19   29   30   38   8   20   32   40   17   25   13   24   18   43   16   4 
415.515    1   35   24   10   45   34   39   19   29   30   20   8   38   32   40   17   14   22   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   9   42   21   7   46   48   49   23   15   13   25   16   43   18   4 
414.027    1   35   24   18   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   16   25   43   4 
410.069    1   35   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   40   17   13   16   25   43   18   24   4 
410.069    1   35   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   40   17   13   16   25   43   18   24   4 
